branch,construction_source,model,dataset,side,layer,method,rho,decode_mode
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,1,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,1,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,1,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,1,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,2,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,2,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,2,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,2,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,3,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,3,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,3,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,3,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,4,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,4,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,4,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,4,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,5,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,5,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,5,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,5,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,6,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,6,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,6,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,6,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,0.5,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,0.5,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,1.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,1.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,1.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,1.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,1.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,1.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,2.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,2.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,2.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,2.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,2.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,2.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,4.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,4.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,4.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,4.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,4.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,4.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,6.0,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,6.0,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,6.0,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,7,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,7,raw,6.0,official_standard
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,7,raw,6.0,official_standard
fixed,cs_dialogue,whisper,ascend_eval,encoder,7,raw,6.0,official_standard
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,8,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_man,encoder,8,raw,0.5,greedy
fixed,cs_dialogue,whisper,seame_dev_sge,encoder,8,raw,0.5,greedy
fixed,cs_dialogue,whisper,ascend_eval,encoder,8,raw,0.5,greedy
fixed,cs_dialogue,whisper,cs_dialogue_dev_select,encoder,8,raw,0.5,official_standard
fixed,cs_dialogue,whisper,seame_dev_man,encoder,8,raw,0.5,official_standard
